abase	làm mất thể diện
acrimonious	chua cay
acrimony	gay gắt
actionable	hành động
actuality	thực ra
actuary	thơ ký
actuate	xúi giục
acumen	sự nhạy bén
acute	nhọn
adamant	vật rất cứng
addendum	phụ lục
addle	ung hư
adduce	dẩn chứng
adhere	tuân thủ
adherence	dính
adherent	đảng viên
adhesion	bám dính
adieu	từ biệt
adjacency	phụ cận
adjacent	liền kề
adjudge	phân xử
adjunct	bổ sung từ
adjuration	van lơn
adjutant	phụ tá
administrator	người quản lý
admissible	chấp nhận được
admittance	lối đi vào
admonish	khiển trách
admonition	khuyên bảo
ado	khó nhọc
adoration	Yêu mến
adroit	khéo léo
adulterant	giả mạo
adulterate	pha không đúng
adumbrate	làm mờ
advent	xuất hiện
adverse	bất lợi
adversity	nghịch cảnh
advert	Quảng cáo
advertiser	nhà quảng cáo
advisory	tham mưu
advocacy	luật sư
advocate	biện hộ
aerial	trên không
aeronaut	người cởi khí cầu
aeronautics	thuật hàng không
aerostat	aerostat
aerostatics	khí tĩnh học
affable	dể thương
affect	có ảnh hưởng đến
affectation	không tự nhiên
affiliate	liên kết
affirmative	khẳng định
affix	đóng dấu
affluence	sung túc
affront	sự làm nhục
afire	Một đám cháy
afoot	đang tiến hành
aforesaid	nêu trên
afresh	lần nửa
afterthought	sự suy nghĩ
agglomerate	khoáng chất
aggrandize	phóng đại
aggravate	làm nặng thêm
aggravation	nặng hơn
aggregate	tập hợp
aggress	aggress
aggression	Hiếu chiến
aggrieve	làm buồn rầu
aghast	kinh ngạc
agile	nhanh nhẹn
agitate	khuấy động
agrarian	nông nghiệp
aide-de-camp	phụ tá-de-trại
ailment	bệnh tật
airy	thoáng đãng
akin	giống nhau
alabaster	ngọc thạch
alacrity	tính vui vẻ
albeit	dù
albino	người bạch tạng
album	album
alchemy	khoa luyện kim
alcohol	rượu
alcoholism	nghiện rượu
alcove	phần lõm của tường
alder	cây trăn
alderman	người đi bệ vệ
aldermanship	aldermanship
alias	tên giả
alien	người ngoài hành tinh
alienable	có thể sang
alienate	xa lánh
alienation	xa lánh
aliment	nuôi cho ăn
alkali	chất kiềm
allay	làm dịu bớt
allege	quả quyết
allegory	tượng trưng
alleviate	giảm bớt
alley	đường hẻm
alliance	đồng minh
allot	allot
allotment	sự phân phối
allude	ám chỉ
allusion	lời ám chỉ
alluvion	sự bồi đất
ally	đồng minh
almanac	lịch thư
aloof	đứng cách xa
altar	bàn thờ
alter	ALTER
alteration	sự biến đổi
altercate	cãi lộn
alternate	Luân phiên
alternative	thay thế
altitude	độ cao
alto	giọng hát cao thấp
altruism	lòng vị tha
altruist	chủ nghĩa vị tha
amalgam	hổn hợp với nhau
amalgamate	hổn hợp
amateur	nghiệp dư
amatory	thuộc về ái tình
ambidextrous	người gian xảo
ambiguous	mơ hồ
ambitious	đầy tham vọng
ambrosial	ambrosial
ambulance	xe cứu thương
ambulate	ambulate
ambush	mai phục
ameliorate	cải thiện
amenable	chịu trách nhiệm
Americanism	phong tục ở hoa kỳ
amicable	hòa giải
amity	thân thiện
amorous	ham mê
amorphous	vô định hình
amour	tình sự
ampere	am pe
ampersand	dấu và
amphibious	lội nước
amphitheater	giảng đường
amplitude	độ lớn
amply	đủ
amputate	cưa đi
amusement	vui chơi giải trí
anachronism	sự sai lầm
anagram	phép đố chử
analogous	giống nhau
analogy	sự giống nhau
analyst	chuyên gia phân tích
analyze	phân tích
anarchy	tình trạng hổn loạn
anathema	người bị nguyền rủa
anatomy	giải phẫu học
ancestry	tổ tiên
anecdote	chuyện vặt
anemia	thiếu máu
anemic	thân thể xanh xao
anemometer	phong kế
anesthetic	thuốc mê
anew	một lần nữa
angelic	thiên thần
Anglophobia	bài xích nước Anh
Anglo-Saxon	Anglo-Saxon
angular	có góc cạnh
anhydrous	khan
animadversion	sự khiển trách
animadvert	khiển trách
animalcule	vi sinh vật
animate	animate
animosity	sự thù oán
annalist	người viết lịch sử
annals	biên niên sử
annex	Phụ lục
annihilate	thủ tiêu
annotate	chú thích
annual	hàng năm
annuity	niên kim
annunciation	lời tuyên bố
anode	dương cực
anonymous	vô danh
antagonism	sự đối lập
Antarctic	Nam Cực
ante	ante
antecede	antecede
antecedent	lai lịch
antechamber	chờ vào yến kiến ​​người nào
antedate	sanh thiếu tháng
antediluvian	người xưa
antemeridian	thuộc về buổi sáng
antemundane	antemundane
antenatal	thai
anterior	trước
anteroom	phòng trước
anthology	văn tuyển
anthracite	than
anthropology	nhân chủng học
anthropomorphous	anthropomorphous
antic	sự nhảy lộn
Antichrist	phản đối cơ đốc giáo
anticlimax	anticlimax
anticyclone	gió thổi ngược
antidote	thuốc giải độc
antilogy	ý nghiả mâu thuẩn
antipathize	antipathize
antiphon	điệp ca
antiphony	antiphony
antipodes	nơi chống đối
antiquary	nhà khảo cổ
antiquate	kiễu cổ
antique	đồ cổ
antiseptic	khử trùng
antislavery	Chống nô lệ
antispasmodic	chống co thắt
antistrophe	antistrophe
antitoxin	kháng độc tố
antonym	từ trái nghĩa
anxious	áy náy
apathy	lạt lẽo
aperture	miệng vỏ
apex	đỉnh
aphorism	cách ngôn
apiary	nhà nuôi ong
apogee	chổ rất cao
apology	lời xin lỗi
apostasy	sự bỏ đạo
apostate	bỏ đạo
apostle	tông đồ
apothecary	người chế thuốc
apotheosis	sự sùng bái
appall	làm ghê sợ
apparent	hiển nhiên
apparition	xuất hiện
appease	nhân nhượng
appellate	phúc thẩm
appellation	tên gọi
append	append
appertain	về phận sự
apposite	thích hợp
apposition	sự ghép lại
appraise	thẩm định
appreciable	đáng kể
apprehend	bắt
apprehensible	có thể hiểu
approbation	sự thừa nhận
appropriate	thích hợp
aqueduct	máng nước
aqueous	có nước
arbiter	quan thẩm phán
arbitrary	Bất kỳ
arbitrate	phân xử
arbor	cây thông
arboreal	thuộc về cây cối
arborescent	arborescent
arboretum	vườn trồng cây
arboriculture	arboriculture
arcade	giải trí
archaic	xưa
archaism	tiếng xưa
archangel	nói về phật giáo
archbishop	tổng giám mục
archdeacon	phó giám mục
archaeology	khảo cổ học
archetype	khuôn mẫu
archipelago	quần đảo
ardent	cháy
ardor	nhiệt tình
arid	khô khan
aristocracy	quí tộc
aristocrat	người quí tộc
armada	hạm đội
armful	ôm vào lòng
armory	huy chương học
aroma	mùi thơm
arraign	tố cáo
arrange	sắp xếp
arrangement	sắp xếp
arrant	phi thường
arrear	tiền còn thiếu
arrival	đến
arrogant	kiêu ngạo
arrogate	đoạt lấy
Artesian	phun
artful	khéo léo
Arthurian	Arthur
artifice	mưu kế
artless	không khéo
ascendant	lên cao
ascension	hướng thượng
ascent	sự tiến bộ
ascetic	khổ tu
ascribe	thường gán
asexual	vô tính
ashen	tái mét
askance	nghiên
asperity	tính cộc cằn
aspirant	người ham muốn
aspiration	nguyện vọng
aspire	khao khát
assailant	người tấn công
assassin	kẻ ám sát
assassinate	ám sát
assassination	Sự am sát
assay	khảo nghiệm
assent	tán thành
assess	đánh giá
assessor	người định giá
assets	tài sản
assiduous	cần mẫn
assignee	nhận chuyển nhượng
assimilate	đồng hóa
assonance	vận nghèo
assonant	vận nghèo
assonate	assonate
assuage	làm cho dịu
astringent	co lại
astute	sắc sảo
atheism	thuyết vô thần
athirst	khát
athwart	xiên
atomizer	bình xịt thuốc
atone	chuộc lổi
atonement	sự chuộc tội
atrocious	gớm ghiếc
atrocity	tàn bạo
attache	tùy viên
attest	ATTEST
attorney-general	Bộ Trưởng Tư Pháp
auburn	màu nâu lợt
audacious	trơ tráo
audible	có thể nghe được
audition	thử vai
auditory	thính giác
augment	tăng
augur	chiêm tinh gia
Augustinian	Augustinô
aura	hào quang
aural	hơi xông lên
auricle	vành tai
auricular	thuộc về lổ tai
auriferous	có hàm chất vàng
aurora	rạng Đông
auspice	điềm tốt
austere	khắc khổ
autarchy	autarchy
authentic	xác thực
authenticity	xác thực
autobiography	hồi ký
autocracy	chánh thể chuyên chế
autocrat	nhà độc tài
automaton	automaton
autonomous	tự trị
autonomy	quyền tự trị
autopsy	Khám nghiệm tử thi
autumnal	thời kỳ suy đồi
auxiliary	phụ trợ
avalanche	lở tuyết
avarice	lòng tham lam
aver	súc vật chở nặng
averse	không thích
aversion	ghét
avert	Avert
aviary	lồng nuôi chim
avidity	sự thèm thuồng
avocation	nghề nghiệp
avow	bày tỏ
awaken	thức tỉnh
awry	không như ý
aye	vĩnh viển
azalea	Hoa đỗ quyên
azure	màu thanh thiên
Baconian	Baconian
bacterium	vi khuẩn
badger	người bán rong
baffle	làm trở ngại
bailiff	đại diện cho nhà vua
baize	nỉ bọc bàn ghế
bale	sự buồn rầu
baleful	không may
ballad	ballad
balsam	nhựa thơm
banal	tầm thường
barcarole	câu hát chèo
barograph	barograph
barometer	Áp kế
barring	ngăn
baritone	tiếng trầm
bask	tắm nắng
bass	âm bass
baste	rưới
baton	gậy
battalion	tiểu đoàn
batten	cây mè
batter	Bột nhồi
bauble	không gía trị
bawl	la
beatify	tôn chức hiển thánh
beatitude	chân phúc
beau	người si tình
becalm	bình tĩnh
beck	sự ra dấu
bedaub	bedaub
bedeck	trang sức
bedlam	nhà thương
befog	bao phủ
befriend	Làm bạn với
beget	gây ra
begrudge	ghen tị
belate	belate
belay	Belay
belie	không giử lời
believe	tin
belittle	chê
belle	mỷ nhân
bellicose	Hiếu chiến
belligerent	thuộc về chiến tranh
bemoan	phàn nàn
benediction	lể giáng phước
benefactor	làm việc từ thiện
benefice	đời sống giáo đường
beneficent	việc từ thiện
beneficial	có lợi
beneficiary	người thụ hưởng
benefit	lợi ích
benevolence	lòng từ thiện
benevolent	nhân từ
benign	nhẹ
benignant	hảo tâm
benignity	tánh hòa nhả
benison	Benison
bequeath	truyền cho
bereave	tước đoạt
berth	thả neo
beseech	cầu khẩn
beset	bao quanh
besmear	làm bẩn
bestial	thuộc về cầm thú
bestrew	rải rắc
bestride	Bestride
bethink	ngẩm nghỉ
betide	betide
betimes	sớm
betroth	hứa hôn
betrothal	lời hứa hôn
bevel	đi theo đường tà
bewilder	chưng hửng
bibliomania	ham mê sách
bibliography	thư mục
bibliophile	Người ham sách
bibulous	hút nước
bide	Bide
biennial	hai năm
bier	cái dá
bigamist	đàn ông hai vợ
bigamy	sự chung hai vợ
bight	phần lõm vào
bilateral	song phương
bilingual	nói hai thứ tiếng
biograph	Biograph
biography	tiểu sử
biology	sinh học
biped	có hai chân
birthright	quyền trưởng tử
bitterness	cay đắng
blase	chán
blaspheme	xúc phạm
blatant	om sòm
blaze	ngọn lửa
blazon	huy chương
bleak	ảm đạm
blemish	khuyết điểm
blithe	vui tươi
blithesome	yêu đời
blockade	sự phong tỏa
boatswain	thuyền trưởng
bodice	áo che thân trên
bodily	cơ thể
boisterous	người làm ồn ào
bole	thân cây
bolero	áo ngắn của đàn bà
boll	tỉa hột
bolster	ủng hộ
bomb	bom
bombard	Bombard
bombardier	oanh tạc cơ
bombast	văn lưu loát
boorish	sự quê mùa
bore	chán
borough	thành phố
bosom	ngực
botanical	thực vật học
botanize	nghiên cứu thực vật
botany	thực vật học
bountiful	khoan hồng
Bowdlerize	Bowdlerize
bowler	người chơi ném banh
boycott	tẩy chay
brae	giốc
braggart	hay khoe khoang
brandish	vung binh khí
bravado	ra vẻ
bravo	người đi ám sát
bray	lừa kêu
braze	làm giống sắc đồng
brazier	thợ làm đồng
breach	vi phạm
breaker	ngắt
breech	khóa nòng súng
brethren	anh trai
brevity	tính không bền
bric-a-brac	BRIC-a-Brac
bridle	cương ngựa
brigade	Lữ đoàn
brigadier	thiếu tướng
brigand	du côn
brimstone	diêm sanh
brine	nước muối
bristle	lông
Britannia	nước Anh
Briticism	cách nói riêng của tiếng Anh
brittle	dòn
broach	đồ dùng để dũa
broadcast	phát sóng
brogan	Brogan
brogue	giày đi núi
brokerage	môi giới
bromine	một hóa chất
bronchitis	viêm phế quản
bronchus	phế quản
brooch	trâm
brotherhood	tình huynh đệ
browbeat	dọa nạt
brusque	lỗ mãng
buffoon	tên hê
buffoonery	trò hề
bulbous	có hình củ hành
bullock	bò đực thiến
bulrush	cây bồ hoàng
bulwark	bao lơn
bumper	bội thu
bumptious	kiêu căng
bungle	việc làm vụng về
buoyancy	sự nổi
buoyant	vui vẻ
bureau	văn phòng
bureaucracy	quan liêu
burgess	người ở thành thị
burgher	người ở thành phố
burnish	đánh bóng
bursar	học sinh có học bổng
bustle	nhộn nhịp
butt	mông
butte	butte
buttress	bạnh vè
by-law	bởi rể
cabal	âm mưu
cabalism	cabalism
cabinet	buồng
cacophony	câu nhiều âm không hòa hợp
cadaverous	tái mét
cadence	nhịp
cadenza	Cadenza
caitiff	hèn hạ
cajole	nịnh hót
cajolery	sự tán tỉnh
calculable	có thể tính
calculus	calculus
callosity	tàn nhẩn
callow	chổ lủng thấp
calorie	nhiệt lượng
calumny	lời vu khống
Calvary	Calvary
Calvinism	Calvin
Calvinize	Calvinize
came	đến
cameo	cameo
campaign	chiến dịch
Canaanite	Canaan
canary	chim hoàng yến
candid	thật thà
candor	sự thẳng thắn
canine	giống chó
canon	canon
cant	không thể
cantata	nhạc phổ theo bài thơ
canto	đoạn ca
cantonment	chia quân ở nơi có dân cư
capacious	chứa thật nhiều
capillary	mao quản
capitulate	đầu hàng
caprice	bản nhạc phóng túng
caption	lời chú thích
captious	hay câu nệ
captivate	Captivate
carcass	thịt
cardiac	tim
cardinal	chủ yếu
caret	dấu viết in
caricature	cách vẻ hoạt kê
carnage	sự chém giết
carnal	thuộc về xác thịt
carnivorous	ăn thịt
carouse	say sưa
carrion	hôi thúi
cartilage	xương sụn
cartridge	hộp đạn
caste	đẳng cấp
castigate	gọt giũa
casual	binh thương
casualty	tai nạn
cataclysm	đại hồng thủy
cataract	đục thủy tinh thể
catastrophe	Thảm khốc
cathode	âm cực
Catholicism	đạo thiên chúa
catholicity	xóm đạo
cat-o-nine-tails	mèo-o-nine-đuôi
caucus	ủy ban địa phương
causal	nguyên nhân
caustic	caustic
cauterize	sự đốt bằng sắt
cede	nhường lại
censor	giám thị ở trường đại học
censorious	chỉ trích
census	điều tra dân số
centenary	trăm năm
centiliter	centiliter
centimeter	centimet
centurion	centurion
cereal	ngũ cốc
ceremonial	nghi thức
ceremonious	quá cậu nệ
cessation	đình chỉ
cession	vật chuyển nhượng
chagrin	nổi phiền muộn
chameleon	con tắc kè
chancery	Chancery
chaos	sự hỗn loạn
characteristic	đặc tính
characterize	đặc trưng
charlatan	lang băm
chasm	hang sâu
chasten	tự phụ
chastise	trừng phạt
chastity	trinh tiết
chateau	lâu đài
chattel	đồ vật trong nhà
check	kiểm tra
chiffon	voan
chivalry	chỉ những hiệp sĩ
cholera	dịch tả
choleric	hay giận
choral	hợp xướng
Christ	Đấng Christ
christen	chịu phép rửa tội
Christendom	tín đồ Cơ đốc giáo
chromatic	thuộc về màu sắc
chronology	niên đại
chronometer	thi kế
cipher	mật mã
circulate	lưu hành
circumference	đường tròn
circumlocution	nói dài lê thê
circumnavigate	đi vòng quanh
circumscribe	định giới hạn
circumspect	thận trọng
citadel	Thành lũy
cite	dẫn chứng
claimant	người thỉnh cầu
clairvoyance	sự minh mẫn
clamorous	la vang
clan	tộc
clandestine	gian lận
clangor	tiếng chói tai
clarify	làm rõ
clarion	oang oang
classify	classify
clearance	giải tỏa
clemency	khoan dung
clement	khí hậu ôn hòa
close-hauled	cận kéo
clothier	người bán quần áo may sẳn
clumsy	hậu đậu
coagulate	đặc lại
coagulant	đông lại
coalescence	sự hóa hợp
coalition	sự liên minh
coddle	nưng niu
codicil	codicil
coerce	ép buộc
coercion	sự ép buộc
coercive	cưỡng bách
cogent	vửng chắc
cognate	bà con
cognizant	hiểu biết
cohere	làm cho dính lại
cohesion	sự gắn kết
cohesive	tính kết hợp
coincide	trùng
coincidence	trùng
coincident	trùng hợp
collaborate	hợp tác
collapse	sự sụp đổ
collapsible	có thể xếp
colleague	đồng nghiệp
collective	tập hợp
collector	người sưu tầm
collegian	tù nhân
collide	va chạm
collier	thợ mỏ than
collision	va chạm
colloquial	thông thường
colloquialism	câu nói thân mật
colloquy	hội đàm
collusion	sự thông đồng
colossus	pho tượng
comely	hòa nhã
comestible	đồ ăn
comical	lố bịch
commemorate	kỷ niệm
commentary	bình luận
commingle	trộn lộn
commissariat	tiếp tế lương thực
commission	Uỷ ban
commitment	lời cam kết
committal	tống giam
commodity	hàng hóa
commotion	bạo động
commute	đi làm
comparable	có thể so sánh
comparative	tương đối
comparison	sự so sánh
compensate	đền bù
competence	thẩm quyền
competent	có thẩm quyền
competitive	cạnh tranh
competitor	đối thủ
complacence	sự bằng lòng
complacent	tự mãn
complaisance	sốt sắng
complaisant	tánh ân cần
complement	bổ sung
complex	phức tạp
compliant	compliant
complicate	phức tạp
complication	sự phức tạp
complicity	đồng lõa
compliment	lời khen
component	thành phần
comport	cư
composure	sự bình tỉnh
comprehensible	có thể hiểu được
comprehension	bao quát
comprehensive	toàn diện
compress	nén
compressible	chịu nén
compression	nén
comprise	bao gồm
compulsion	ép buộc
compulsory	bắt buộc
compunction	sự hối hận
compute	tính
concede	công nhận
conceit	tự cao
conceive	tưởng tượng
concerto	nhạc hợp tấu
concession	tô giới
conciliate	hòa giải
conciliatory	hòa giải
conclusive	quả quyết
concord	hòa thuận
concordance	sự phù hợp
concur	tán
concurrence	sự tranh đua
concurrent	đồng thời
concussion	sự rung chuyển
condensation	ngưng tụ
condense	cô đặc
condescend	chiếu cố
condolence	lời chia buồn
conduce	đưa đến
conducive	lợi
conductible	conductible
conduit	ống dẫn nước
confectionery	kẹo
confederacy	liên bang
confederate	liên minh
confer	trao
conferee	chuyện trò
confessor	người xưng tội
confidant	tri kỷ
confide	tâm sự
confidence	sự tự tin
confident	tự tin
confinement	sự giam cầm
confiscate	tịch thu
conflagration	nạn cháy lớn
confluence	hợp lưu
confluent	dính chùm
conformance	phù hợp
conformable	dể bảo
conformation	y theo
conformity	phù hợp
confront	đối đầu
congeal	đông đặc
congenial	tính chất giống nhau
congest	Làm tắc nghẽn
congregate	họp lại
coniferous	lọai cây tùng bách
conjecture	phỏng đoán
conjoin	nối tiếp
conjugal	sự liên hợp
conjugate	liên hợp
conjugation	kết hợp
conjunction	kết hợp
connive	thông đồng
connoisseur	người sành
connote	bao hàm
connubial	việc hôn nhơn
conquer	chinh phục
consanguineous	bà con
conscience	lương tâm
conscientious	tận tâm
conscious	Có ý thức
conscript	người bị bắt buộc
consecrate	dâng hiến
consecutive	liên tiếp
consensus	đoàn kết
conservatism	thuộc về bảo tồn
conservative	thận trọng
conservatory	giữ gìn
consign	ủy thác
consignee	nhận hàng
consignor	gửi hàng
consistency	Tính nhất quán
console	console
consolidate	củng cố
consonance	sự cộng hưởng
consonant	phụ âm
consort	cùng đi một hướng
conspicuous	dễ thấy
conspirator	người âm mưu
conspire	mưu phản
constable	nhân viên công lực
constellation	chòm sao
consternation	sự mất tinh thần
constituency	cử tri đoàn
constituent	thành phần
constrict	siết lại
consul	lãnh sự
consulate	lãnh sự quán
consummate	hoàn hảo
consumption	sự tiêu thụ
consumptive	thuộc về bịnh phổi
contagion	bịnh truyền nhiểm
contagious	dễ lây lan
contaminate	làm ô uế
contemplate	thưởng ngoạn
contemporaneous	đồng thời
contemporary	đồng thời
contemptible	đáng khinh
contemptuous	khinh thường
contender	contender
contiguity	hai vật tiếp giáp
contiguous	gần kề
continence	trinh bạch
contingency	dự phòng
contingent	ngẫu nhiên
continuance	sự kéo dài
continuation	tiếp tục
continuity	liên tục
continuous	tiếp diễn
contort	vặn lại
contraband	sự buôn lậu
contradiction	sự mâu thuẩn
contradictory	trái ngược
contraposition	sự trái ngược nhau
contravene	làm trở ngại
contribution	sự đóng góp
contributor	người góp phần
contrite	ăn năn
contrivance	mưu kế
contrive	xoay sở
control	điều khiển
controller	điều khiển
contumacious	bướng
contumacy	xấc xược
contuse	làm có vết bầm
contusion	đụng dập
convalesce	điều dưỡng
convalescence	nghỉ dưỡng
convalescent	mới khỏi bịnh
convene	triệu tập
convenience	tiện
converge	hội tụ
convergent	hội tụ
conversant	thân giao
conversion	chuyển đổi
convertible	mui trần
convex	lồi
conveyance	chuyên chở
convivial	vui vẻ
convolution	sự quấn lại
convolve	cây dây leo
convoy	hộ tống
convulse	làm co quắp
convulsion	sự lay chuyển
copious	dồi dào
coquette	đàn bà hay làm dáng
cornice	đường viền tròn
cornucopia	dồi dào
corollary	hệ luận
coronation	đăng quang
coronet	đồ trang sức
corporal	sự tuyên thệ
corporate	đoàn thể
corporeal	vật chất hửu tình
corps	quân đoàn
corpse	tử thi
corpulent	mập mạp
corpuscle	vi thể
correlate	tương quan
correlative	tương quan
corrigible	chửa được
corroborate	làm chứng cho
corroboration	làm chắc chắn
corrode	ăn mòn
corrosion	sự ăn mòn
corrosive	ăn mòn
corruptible	hư hỏng
corruption	tham nhũng
cosmetic	mỹ phẩm
cosmic	rộng mênh mông
cosmogony	cosmogony
cosmography	vủ trụ học
cosmology	vủ trụ luận
cosmopolitan	khắp thế giới
cosmopolitanism	chủ nghỉa thế giới
cosmos	vũ trụ
counter-claim	yêu cầu phản tố
counteract	chống lại
counterbalance	trái cân
countercharge	sự kiện ngược lại
counterfeit	giả mạo
counterpart	bản sao
countervail	làn cân bằng
counting-house	phòng Tài vụ
countryman	đồng hương
courageous	can đảm
course	khóa học
courser	trường đua
courtesy	lịch sự
covenant	khế ước
covert	che giấu
covey	đoàn người
cower	khúm núm
coxswain	lái tàu
crag	núi đá vóc đứng hiểm trở
cranium	sọ
crass	hoàn toàn dốt
craving	thèm muốn
creak	tiếng kêu kèn kẹt
creamery	chổ bán bơ
creamy	mịn
credence	lòng tin
credible	đáng tin
credulous	dể tin
creed	tín điều
crematory	nhà hỏa táng
crevasse	chổ nứt nẻ
crevice	đường nứt, kẽ hở
criterion	tiêu chuẩn
critique	bài phê bình
crockery	bát đĩa bằng sành
crucible	nồi nấu kim loại
crusade	cuộc vận động
crustacean	giáp xác
crustaceous	crustaceous
cryptogram	loại ẩn hoa
crystallize	Crystallize
cudgel	gậy
culinary	ẩm thực
cull	người khờ dại
culpable	có tội
culprit	thủ phạm
culvert	cống nước
cupidity	tánh tham lam
curable	có thế chửa khỏi
curator	người quản lý
curio	vật hiếm có
cursive	chữ ẩu
cursory	qua loa
curt	cộc lốc
curtail	hạn chế
curtsy	chào người nào
cycloid	đường cyc lo it
cygnet	chim thiên nga con
cynical	Hoài nghi
cynicism	sự thô tục
cynosure	các chòm sao
daring	gan
darkling	tối tăm
Darwinism	tiến hóa luận
dastard	người nhút nhát
datum	dữ kiện
dauntless	không sợ
day-man	ngày-người đàn ông
dead-heat	dead-nhiệt
dearth	thiếu
death's-head	sự khởi đầu của cái chết
debase	giảm giá trị
debatable	có thể tranh luận
debonair	phóng khoáng
debut	khởi đầu
decagon	hình mười góc
decagram	mười gờ ram
decaliter	mười lít
decalogue	thập giới
Decameron	Decameron
decameter	mười thước
decamp	bỏ trốn
decapitate	Decapitate
decapod	loại thập túc
decasyllable	decasyllable
deceit	nói dối
deceitful	giả dối
deceive	lừa dối
decency	Đứng đắn
decent	phong nha
deciduous	phù du
decimal	số thập phân
decimate	phá huỷ phần lớn
decipher	giải mã
decisive	quyết định
declamation	lối khoa trương
declamatory	khoa trương
declarative	declarative
declension	biến cách
decorate	trang trí
decorous	đoan trang
decoy	dụ dổ
decrepit	già yếu
dedication	sự cống hiến
deduce	suy luận
deface	làm hư
defalcate	thụt kết
defamation	làm tổn hại
defame	phỉ báng
default	mặc định
defendant	bị cáo
defensible	phòng thủ được
defensive	phòng ngự
defer	hoãn lại
deference	tôn kính
defiant	khiêu khích
deficiency	sự thiếu hụt
deficient	thiếu
definite	xác định
deflect	chệch hướng
deforest	phá rừng
deform	biến dạng
deformity	méo mó
defraud	ăn gian
defray	trả phí tổn thế cho ai
degeneracy	sự thoái hóa
degenerate	thoái hóa
degradation	suy thoái
degrade	suy thoái
dehydrate	mất nước
deify	sùng bái như thần
deign	đoái
deist	người theo thần giáo
deity	thần linh
deject	phiền muộn
dejection	sự buồn rầu
delectable	khoái trá
delectation	lạc thú
deleterious	bại hoại phong tục
delicacy	tinh vi
delineate	phác họa
deliquesce	deliquesce
delirious	nói không tỉnh táo
delude	lường gạt
deluge	trận lụt lớn
delusion	ảo tưởng
demagnetize	làm mất từ ​​lực
demagogue	người mị dân
demeanor	cách ăn ở
demented	điên
demerit	điều đáng chê
demise	cái chết của
demobilize	giải ngủ
demolish	phá hủy
demonstrable	có thể chứng minh
demonstrate	chứng minh
demonstrative	Biểu tình
demonstrator	người đi biểu tình
demulcent	làm bớt đau
demurrage	trể hạn
dendroid	đâm thành cành
dendrology	thụ mọc học
denizen	người ở xứ khác
denominate	chỉ tên
denomination	giáo phái
denominator	mẫu số
denote	chứng tỏ
denouement	đoạn kết
denounce	tố cáo
dentifrice	kem đánh răng
denude	làm trụi
denunciation	tuyên bố bãi ước
deplete	triệt binh
deplorable	thương tâm
deplore	lấy làm ân hận
deponent	cung khai
depopulate	làm giãm
deport	Deport
deportment	cách cư xử
deposition	lắng đọng
depositor	người gửi tiền
depository	lưu ký
deprave	làm xấu
deprecate	Ko tán thành
depreciate	phỉ báng
depreciation	sụt giá
depress	làm giảm xuống
depression	Phiền muộn
depth	chiều sâu
derelict	vô chủ
deride	chế nhạo
derisible	derisible
derision	chế nhạo
derivation	nguồn gốc
derivative	phát sinh
derive	lấy được
dermatology	da liễu
derrick	cần trục để hạ tàu
descendant	con cháu
descendent	hậu duệ
descent	hạ xuống
descry	nhận thấy
